banteay បន្ទាយ
mean មាន​
chey ជ័យ
meanchey មានជ័យ 
bmc បន្ទាយមានជ័យ
battambang បាត់ដំបង
btb បាត់ដំបង
kampong កំពង់
cham ចាម
chhnang ឆ្នាំង
speu ស្ពឺ
thom ធំ
kpc កំពង់ចាម
kch កំពង់ឆ្នាំង
kps កំពង់ស្ពឺ
kpt កំពង់ធំ
kampot កំពត
kp កំពត
kandal កណ្ដាល
kd កណ្ដាល
kep កែប
koh កោះ
kong កុង
kk កោះកុង
kratie ក្រចេះ
kt ក្រចេះ
mondulkiri មណ្ឌលគីរី
mdk មណ្ឌលគីរី
oddar ឧត្ត
omc ឧត្តមានជ័យ
pailin ប៉ៃលិន
pl ប៉ៃលិន
phnom ភ្នំ
penh ពេញ
pp ភ្នំពេញ
preah ព្រះ
sihanouk សីហនុ
shk ព្រះសីហនុ
kps កំពង់សោម
vihear វិហារ
pvh ព្រះវិហារ
prey ព្រៃ
veng វែង
pv ព្រៃវែង
pursat ពោធិ៍សាត់
ps ពោធិ៍សាត់
ratanakiri រតនៈគីរី
rtk រតនៈគីរី
siem សៀម
reap រាប
sr សៀមរាប
stung ស្ទឹង
treng ត្រែង
st ស្ទឹងត្រែង
svay ស្វាយ
rieng រៀង
svr ស្វាយរៀង
takeo តាកែវ
tk តាកែវ
tboung ត្បូង
khmum ឃ្មំ
tbk ត្បូងឃ្មំ
