ov ឪ
ovpuk ឪពុក
mae ម៉ែ
mday ម្ដាយ
puk ពុក
pu ពូ
e អ៊ី
ming មីង
meng មីង ម៉េង
mea ម៉ែ
bong បង
pon ប្អូន
poun ប្អូន
oun អូន
pros ប្រុស
srey ស្រី
poukmak ពួកម៉ាក
pukmak ពួកម៉ាក
pouk ពួក
puk ពួក
om អ៊ំ
neang នាង
kon កូន
kmouy ក្មួយ
kmuy ក្មួយ
chav ចៅ
jav ចៅ
jidon ជីដូន 
jita ជីតា
jedon ជីដូន
jeta ជីតា
chidon ជីដូន
chita ជីតា
ta តា
ma ម៉ា
kong កុង
jit ជិត
khang ខាង
pd ប្ដី
pdey ប្ដី
pp ប្រពន្ធ
ppon ប្រពន្ធ
propon ប្រពន្ធ
mi មី
fri មិត្ត
mit មិត្ត
pheak ភក្ដិ
satrov សត្រូវ
chngay ឆ្ងាយ
sml សម្លាញ់
somlanh សម្លាញ់
phern ភឿន
