rom រាំ
rean រៀន
sorse សរសេរ
sose សរសេរ
merl មើល
plong ប្រឡង
sdab ស្ដាប់
ongkuy អង្គុយ
angkuy អង្គុយ
kda ក្ដារ
kdar ក្ដារ
khean ខៀន
tok តុ
tu ទូរ
kavey កៅអី
kaoey កៅអី
k'ey កៅអី
p'uch បង្អួច
bongouch បង្អួច
bich ប៊ិច
bik ប៊ិក
kmaodai ខ្មៅដៃ
kmavdai ខ្មៅដៃ
p'tot បន្ទាត់
bontot បន្ទាត់
bontort បន្ទាត់
jorlob ជ័រលុប
seavphov សៀវភៅ
sot សូត្រ
tontenh ទន្ទេញ
t'tenh ទន្ទេញ
jam ចាំ
merean មេរៀន
lomhat លំហាត់
kich កិច្ច
kech គេច
ka ការ
p'teas ផ្ទះ
pteas ផ្ទះ
vinheasa វិញ្ញាសារ
neayuk នាយក
neayok នាយក
kru គ្រូ
sers សិស្ស
sala សាលា
jenh ចេញ
tnak ថ្នាក់
jorn ជាន់
floor ជាន់
ti ទី
english អង់គ្លេស
phum ភូមិ
provot ប្រវត្តិ
phendey ផែនដី
phaendey ផែនដី
selthor សីលធម៏
siksa សិក្សារ
songkom សង្គម
somne សំណេរ
rub រូប
vichea វិទ្យា វិជ្ជា
k'net គណិត
k'nit គណិត
kinit គណិត
kimi គីមី
jiveak ជីវៈ
kehak គេហៈ
tosanak ទស្សនៈ
aksorsas អក្សរសាស្ត្រ
aksor អក្សរ
veyeakor វេយ្យករណ៍
p'rean បង្រៀន
kur គួរ
kit គិត
teng តែង
sech សេច
kdey ក្ដី
computer កុំព្យូទ័រ
komter កុំព្យូទ័រ
tusab ទូរស័ព្ទ
phone ទូរស័ព្ទ
pata ប៉ាតា
tob តូប
bay បាយ
t'rong តម្រង់
domrong តម្រង់
jur ជួរ
tleak ធ្លាក់
job ជាប់
result លទ្ធផល
latpol លទ្ធផល
letpol លទ្ធផល
exam ប្រឡង
